Dataset,Date_added,Graph#,filename,study_id,class,genus,species,transmission_route,taxa,sociality,scale,interaction_type,definition_of_interaction,edge_wt_type,edge_wt_type_reduced,geographical_location,population_type,data_collection_duration_unit_day,nodes,edges,network.density,avg.degree,std.degree.node,CV.degree,deg.assort,avg.betw.centrality,avg.betw.centrality.weighted,clustering,Q,Qmax,Qrel,cohesion,num.modules,diameter,Citation
Ants Network (Keller),1/1/18,0,N0_ant_mersch_col1_day01.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4550,0.719,80.531,13.488,0.167,-0.03,0.003,0.008,0.799,0.139,0.5,0.278,0.639340449,2,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,1,N1_ant_mersch_col1_day02.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4573,0.723,80.938,14.685,0.181,0.02,0.002,0.009,0.81,0.131,0.5,0.262,0.631095975,2,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,2,N2_ant_mersch_col1_day03.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4483,0.708,79.345,16.005,0.202,0.072,0.003,0.009,0.813,0.133,0.492,0.27,0.640197368,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,3,N3_ant_mersch_col1_day04.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4094,0.647,72.46,14.815,0.204,0.07,0.003,0.009,0.771,0.174,0.493,0.353,0.681486765,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,4,N4_ant_mersch_col1_day05.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4149,0.656,73.434,14.993,0.204,0.049,0.003,0.009,0.771,0.163,0.5,0.326,0.663530023,2,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,5,N5_ant_mersch_col1_day06.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4259,0.673,75.381,16.686,0.221,0.061,0.003,0.009,0.789,0.142,0.499,0.285,0.642635119,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,6,N6_ant_mersch_col1_day07.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4077,0.644,72.159,15.143,0.21,0.049,0.003,0.009,0.765,0.166,0.498,0.333,0.667405203,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,7,N7_ant_mersch_col1_day08.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4076,0.644,72.142,15.679,0.217,0.098,0.003,0.009,0.759,0.151,0.499,0.303,0.652842244,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,8,N8_ant_mersch_col1_day09.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,4128,0.652,73.062,15.878,0.217,0.049,0.003,0.009,0.771,0.158,0.495,0.319,0.663032464,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,1/1/18,9,N9_ant_mersch_col1_day10.graphml,mersch,Insecta,Camponotus,fellah,Physical,Camponotus_fellah,Socialstructured,captive,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,weighted,"University of Lausanne, Laussane, Switzerland",captive,1,113,3943,0.623,69.788,15.421,0.221,0.082,0.003,0.01,0.751,0.173,0.488,0.355,0.685514816,2,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
