NetID,transmission.route,T_ad,T_dh,T_sim,Prob
1,Fluid,0.6816632583503749,0.4350901723059374,0.52,0.64
2,Fluid,NA,0.6312781204965228,0.5,0.452
3,Fluid,0.5747126436781609,0.3702071376730747,0.28,0.228
4,Fluid,NA,0.762778868296252,0.79,0.72
5,Fluid,NA,NA,NA,0.656
6,Fluid,0.30518819938962355,0.21641326031027505,0.46,0.772
7,Fluid,0.4110612855007474,0.32476168936475336,0.28,0.344
8,Fluid,0.6218202374222724,0.4300077322050931,0.47000000000000003,0.64
9,Fluid,0.7333333333333334,0.517403574788335,0.54,0.648
10,Fluid,0.5420054200542005,0.40861143730619875,0.43,0.672
11,Fluid,0.6686930091185411,0.39741702835327025,0.37,0.396
12,Fluid,0.9708737864077671,0.6835166250132185,0.6900000000000001,0.764
13,Fluid,0.6152125279642059,0.3818253712924293,0.35000000000000003,0.4
14,Fluid,0.4670912951167729,0.29280329101219654,0.29000000000000004,0.404
15,Fluid,0.430359937402191,0.29481156961309407,0.33,0.592
16,Fluid,NA,NA,NA,1.0
17,Fluid,NA,NA,NA,0.06
18,Fluid,0.0,0.0,0.21000000000000002,0.1
19,Fluid,0.5733397037744864,0.341401750553205,0.26,0.112
20,Fluid,NA,0.7411214295156334,NA,0.8
21,Fluid,0.2535496957403651,0.2059130360611035,0.21000000000000002,0.472
22,Fluid,NA,NA,NA,0.828
23,Fluid,NA,NA,NA,0.848
24,Fluid,0.25706940874035994,0.21357546218012552,NA,0.952
25,Fluid,0.6124234470691164,0.29749433261496544,NA,0.9
26,Fluid,NA,NA,NA,1.0
27,Fluid,NA,NA,NA,1.0
28,Fluid,NA,NA,NA,1.0
29,Fluid,NA,NA,NA,1.0
30,Fluid,NA,0.3333333333333333,NA,0.908
31,Fluid,0.13227513227513227,0.11419705278275924,0.2,0.728
32,Fluid,0.30803696443573236,0.21233493641332804,0.25,0.576
33,Fluid,0.14755197853789404,0.13571423620522538,0.15000000000000002,0.64
34,Fluid,0.17109970446414685,0.14853127903990623,0.16,0.576
35,Fluid,0.22831050228310507,0.18719913380253925,0.21000000000000002,0.572
36,Fluid,0.2372735116479724,0.20160320005244625,0.22,0.616
37,Fluid,0.2923976608187135,0.2286959797323198,0.25,0.604
38,Fluid,0.45833333333333337,0.30650712997869206,0.42000000000000004,0.744
39,Fluid,0.19090593543908368,0.1719709897966007,0.19,0.636
40,Fluid,0.21227325357005017,0.1750007282904342,0.19,0.596
41,Fluid,0.21606757022196033,0.17054553980306764,0.2,0.572
42,Fluid,0.21589793915603536,0.16997504691775245,0.18000000000000002,0.52
43,Fluid,0.14755197853789404,0.13724023977384614,0.15000000000000002,0.644
44,Fluid,0.24836306163919622,0.20380491584186916,0.23,0.62
45,Fluid,0.1728472658705217,0.15144474140273834,0.18000000000000002,0.628
46,Fluid,NA,NA,NA,0.812
47,Fluid,NA,NA,NA,1.0
48,Fluid,NA,NA,NA,1.0
49,Fluid,0.19999999999999998,0.06686279753944906,0.55,0.728
50,Fluid,NA,1.091678190840316,0.6,0.136
51,Fluid,NA,0.7398114058783885,NA,0.0
52,Fluid,NA,NA,NA,0.836
53,Fluid,NA,NA,NA,0.772
54,Fluid,NA,NA,NA,0.808
55,Fluid,NA,NA,NA,1.0
56,Fluid,0.0,0.0,0.11,0.1
57,Fluid,0.35313001605136435,0.26563616384173333,0.18000000000000002,0.172
58,Fluid,0.3666666666666667,0.2838709677419355,0.19,0.28
59,Fluid,0.40801186943620177,0.2988661083363179,0.23,0.276
60,Fluid,0.3706199460916442,0.2432995630329146,0.17,0.124
61,Fluid,0.3654765251616531,0.25877060962382403,0.14,0.116
62,Fluid,0.5132991133924406,0.29472870134809,0.2,0.124
63,Fluid,0.4185559818625741,0.2762522868473157,0.16,0.128
64,Fluid,0.47743055555555564,0.27164115384408416,0.35000000000000003,0.532
65,Fluid,0.29761904761904767,0.2364073983763056,0.24000000000000002,0.6
66,Fluid,0.7333333333333334,0.4048284999263949,0.46,0.592
1,Phys,0.013760664514999126,0.013312971574670544,0.02,0.656
2,Phys,0.026276334296798924,0.02504650146686076,0.02,0.5
3,Phys,0.026917900403768506,0.02591041103306183,0.02,0.344
4,Phys,0.019049572849962636,0.01781483074587087,0.02,0.528
5,Phys,0.012290045063498567,0.01199526662197402,0.01,0.396
6,Phys,0.01669690661976691,0.01591724010537669,0.01,0.156
7,Phys,0.014305836781406815,0.013657529683679106,0.01,0.156
8,Phys,0.022774254581128903,0.02216409686926227,0.02,0.4
9,Phys,0.011737482812971595,0.011499002222284902,0.01,0.368
10,Phys,0.015476624769232469,0.014812403148434242,0.01,0.14
11,Phys,0.015091185586756905,0.01445201524973719,0.01,0.116
